,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
"(000, 025]",crli,asset,released_not_activated,300.0,28.348083,18.122235,16.087083,15.0789,14.086254,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"(000, 025]",crli,liabi,released,-300.0,-304.30777706,-317.85846355,-353.4695155,-395.99242827,-482.39913752,-524.28011363,-581.89413961,-635.24203794,-683.30323322,-728.71864078,-771.76119331,-813.02183619,-818.13875262,-824.69320907,-832.56998968,-840.80818066,-848.77010404,-856.480263,-863.92286737,-871.10938818,-878.05071051,-884.75716783,-891.23857391,-897.50425258,-903.56306591,-909.42344027,-915.09339086,-920.58054477,-925.89216246,-931.03515813,-936.00857975,-940.81727634,-945.46595833,-949.95920135,-954.30145029,-958.49702284,-962.55011331,-966.464796,-970.24502878,-973.89465626,-977.4174132,-980.81692747,-984.09672329,-987.26022403,-990.31075521,-993.25154722,-996.08573812,-998.81637622,-1001.44642264,-1003.97875384,-1006.41616404,-1008.76136753,-1011.01700103,-1013.18562579,-1015.2697299,-1017.27173024,-1019.19397461,-1021.03874367,-1022.80825286,-1024.50465426,-1026.13003841,-1027.6864361,-1029.17582,-1030.60010643,-1031.96115687,-1033.26077955,-1034.50073106,-1035.68271771,-1036.80839703,-1037.87937914,-1038.89722815,-1039.8634634,-1040.77956082,-1041.64695413,-1042.46703602,-1043.24115941,-1043.97063849,-1044.65674988,-1045.3007337,-1045.9037946,-1046.4671028,-1046.99179504,-1047.47897556,-1047.92971702,-1048.34506141,-1048.72602093,-1049.07357883,-1049.38869023,-1049.67228297,-1049.92525833,-1050.11641754,-1050.2783898,-1050.42143456,-1050.54400494,-1050.64434457,-1050.72238671,-1050.77850058,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631,-1050.81304631
"(000, 025]",late,asset,cash,0.0,-5.96391485,-50.06021383,-69.5407556,-86.5180633,-103.86865508,-121.95353681,-144.24686964,-168.93387628,-189.76560918,-209.0084642,-235.49687007,-259.14697243,-280.04944026,-301.99656997,-319.64126017,-337.00009507,-351.75615735,-365.03520696,-379.53680746,-393.94779051,-408.04267952,-421.77129561,-435.14740604,-448.1730473,-460.84812414,-473.18395634,-485.19147113,-496.88121576,-508.26336987,-519.34775796,-530.71649923,-542.0009847,-553.13104531,-564.08998132,-574.8760657,-585.48757128,-595.92278954,-606.1831255,-616.27004795,-626.18508471,-635.929818,-645.50588013,-654.91494927,-664.15874558,-673.23902737,-682.15758754,-690.91625015,-699.51686719,-707.96131547,-716.25149372,-724.38931975,-732.37672785,-740.21566627,-747.90809482,-755.45598264,-762.86130605,-770.12604654,-777.25218885,-784.24171915,-791.09662337,-797.81888556,-804.41048639,-810.8734017,-817.2096012,-823.42104716,-829.50969323,-835.47748336,-841.32635073,-847.05821677,-852.67499029,-858.17856658,-863.57082667,-868.85363656,-874.02884655,-879.09829064,-884.0637859,-888.92713198,-893.69011061,-898.35448512,-902.9220001,-907.39438097,-911.77333369,-916.06054443,-920.25767933,-924.36638426,-928.38828461,-932.32498514,-936.17806979,-939.94910159,-943.63962256,-947.2511536,-950.78519449,-954.24322381,-957.62100669,-960.91681661,-964.13626406,-967.28309121,-970.35935892,-960.48769271,-958.43520694,-957.88069126,-957.69842682,-957.57226177,-957.50699497,-957.50699497,-957.50699497,-957.50699497,-957.50699497,-957.50699497,-957.50699497,-957.50699497,-957.50699497
"(000, 025]",late,asset,late_000-001,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
"(000, 025]",late,asset,late_001-030,0.0,5.96391485,47.61500874,48.24582833,50.97757937,54.22160752,57.39065465,64.13086156,71.16944781,72.34399525,72.47099765,80.17817007,82.00876594,81.28359491,82.36283742,78.7040636,76.40373416,72.10490649,67.74015079,65.82502237,63.97179232,62.1785377,60.44336664,58.76442076,57.13987914,55.56796101,54.04692739,52.57508251,51.15077494,49.77239831,48.43839209,47.71987948,47.00285122,46.28780995,45.57522836,44.86555045,44.15919284,43.45654593,42.75797511,42.0638218,41.37440459,40.69002022,40.0109446,39.33743373,38.66972463,38.00803624,37.3525702,36.70351172,36.06103031,35.42528056,34.79640283,34.17452397,33.55975793,32.95220643,32.35195956,31.75909636,31.17368537,30.59578517,30.02544491,29.46270477,28.90759646,28.36014367,27.82036247,27.28826178,26.76384372,26.24710401,25.73803233,25.23661268,24.7428237,24.256639,23.77802746,23.3069535,22.84337741,22.38725557,21.93854074,21.49718227,21.06312636,20.63631626,20.21669252,19.80419313,19.39875378,19.000308,18.60878734,18.22412156,17.84623877,17.47506559,17.11052728,16.75254789,16.4010504,16.05595682,15.71718832,15.38466535,15.05830774,14.73803478,14.41807308,14.09751232,13.78249811,13.47452301,13.17342972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(000, 025]",late,asset,late_031-060,0.0,0.0,2.44520509,19.52215358,19.78078962,20.90080754,22.23085908,23.53016841,26.29365324,29.1794736,29.66103805,29.71310903,32.87304973,33.62359404,33.32627391,33.76876334,32.26866608,31.32553101,29.56301166,27.77346183,26.98825917,26.22843485,25.49320046,24.78178032,24.09341251,23.42735045,22.78286402,22.15924023,21.55578383,20.97181772,20.40668331,19.85974076,19.56515059,19.271169,18.97800208,18.68584363,18.39487568,18.10526906,17.81718383,17.53076979,17.24616694,16.96350588,16.68290829,16.40448729,16.12834783,15.8545871,15.58329486,15.31455378,15.0484398,14.78502243,14.52436503,14.26652516,14.01155483,13.75950075,13.51040464,13.26430342,13.02122951,12.781211,12.54427192,12.31043241,12.07970896,11.85211455,11.6276589,11.40634861,11.18818733,10.97317592,10.76131264,10.55259325,10.3470112,10.14455772,9.94522199,9.74899126,9.55585093,9.36578474,9.17877478,8.9948017,8.81384473,8.63588181,8.46088967,8.28884393,8.11971918,7.95348905,7.79012628,7.62960281,7.47188984,7.3169579,7.16477689,7.01531618,6.86854463,6.72443066,6.58294229,6.44404721,6.30771279,6.17390617,6.04259426,5.91140996,5.77998005,5.65082422,5.52455443,5.40110619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(000, 025]",late,asset,late_061-090,0.0,0.0,0.0,1.77277369,14.15356135,14.34107247,15.15308547,16.11737283,17.05937209,19.0628986,21.15511836,21.50425259,21.54200405,23.83296105,24.37710568,24.16154859,24.48235342,23.39478291,22.71100998,21.43318345,20.13575982,19.5664879,19.01561527,18.48257033,17.96679073,17.46772407,16.98482907,16.51757641,16.06544917,15.62794328,15.20456785,14.7948454,14.39831205,14.18473418,13.97159752,13.75905151,13.54723663,13.33628487,13.12632007,12.91745828,12.7098081,12.50347103,12.29854176,12.09510851,11.89325328,11.69305217,11.49457565,11.29788877,11.10305149,10.91011886,10.71914126,10.53016465,10.34323074,10.15837725,9.97563804,9.79504336,9.61661998,9.44039139,9.26637798,9.09459714,8.9250635,8.75778899,8.59278305,8.4300527,8.26960274,8.11143581,7.95555255,7.80195167,7.65063011,7.50158312,7.35480435,7.21028594,7.06801866,6.92799193,6.79019393,6.65461172,6.52123123,6.39003743,6.26101431,6.13414501,6.00941185,5.88679641,5.76627956,5.64784155,5.53146204,5.41712013,5.30479448,5.19446325,5.08610423,4.97969486,4.87521223,4.77263316,4.67193423,4.57309178,4.47608198,4.38088084,4.28577222,4.19048554,4.09684756,4.00530196,3.91580199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(000, 025]",late,asset,late_091-120,0.0,0.0,0.0,0.0,1.60613296,12.82312658,12.99301166,13.72869543,14.60233979,15.45579112,17.27098613,19.16653723,19.48285284,19.51705567,21.59266271,22.08565774,21.89036302,22.1810122,21.19567331,20.57617504,19.41846421,18.2429984,17.72723804,17.22814743,16.74520872,16.27791241,15.82575801,15.38825514,14.96492423,14.55529695,14.15891661,13.77533847,13.40412993,13.04487072,12.85136916,12.65826736,12.46570067,12.27379639,12.08267409,11.89244598,11.7032172,11.51508614,11.32814475,11.14247884,10.95816831,10.77528747,10.59390527,10.41408554,10.23588723,10.05936465,9.88456769,9.71154198,9.54032917,9.37096705,9.20348979,9.03792807,8.87430929,8.7126577,8.5529946,8.39533845,8.23970501,8.08610753,7.93455683,7.78506144,7.63762775,7.49226009,7.34896085,7.20773061,7.06856821,6.93147088,6.79643431,6.66345274,6.53251907,6.40362491,6.27676069,6.1519157,6.02907822,5.9082355,5.78937391,5.67247896,5.55753538,5.44452714,5.33343755,5.22424928,5.11694445,5.01150461,4.90791084,4.80614379,4.7061837,4.60801044,4.51160354,4.41694228,4.32400565,4.23277241,4.14322115,4.05533027,3.96907804,3.88290963,3.7965799,3.71174389,3.62880358,3.5477166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(000, 025]",late,asset,late_121-150,0.0,0.0,0.0,0.0,0.0,1.58204097,12.63077968,12.79811648,13.522765,14.38330469,15.22395425,17.01192134,18.87903918,19.19061005,19.22429983,21.26877277,21.75437288,21.56200758,21.84829702,20.87773821,20.26753242,19.12718725,17.96935342,17.46132947,16.96972522,16.49403059,16.03374372,15.58837164,15.15743131,14.74045037,14.33696749,13.94653286,13.5687084,13.20306798,12.84919766,12.65859863,12.46839335,12.27871516,12.08968944,11.90143398,11.71405929,11.52766894,11.34235985,11.15822258,10.97534166,10.79379579,10.61365816,10.43499669,10.25787425,10.08234892,9.90847418,9.73629917,9.56586885,9.39722423,9.23040255,9.06543744,8.90235915,8.74119465,8.58196784,8.42469968,8.26940837,8.11610944,7.96481592,7.81553847,7.66828552,7.52306333,7.37987619,7.23872643,7.09961465,6.96253969,6.82749882,6.69448779,6.56350095,6.43453128,6.30757053,6.18260928,6.05963697,5.93864204,5.81961197,5.7025333,5.58739178,5.47417235,5.36285923,5.25343598,5.14588554,5.04019028,4.93633204,4.83429218,4.73405164,4.63559095,4.53889028,4.44392949,4.35068815,4.25914556,4.16928082,4.08107283,3.99450032,3.90954187,3.82466599,3.7396312,3.65606773,3.57437153,3.49450085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(000, 025]",late,asset,late_151-180,0.0,0.0,0.0,0.0,0.0,0.0,1.55514627,12.41605643,12.5805485,13.292878,14.13878851,14.96514703,16.72271867,18.55809551,18.86436968,18.89748674,20.90720364,21.38454854,21.19545345,21.47687597,20.52281666,19.92298436,18.80202506,17.66387442,17.16448687,16.68123989,16.21363207,15.76117008,15.32336932,14.89975498,14.48986271,14.09323904,13.7094418,13.33804035,12.97861583,12.6307613,12.44340245,12.25643066,12.069977,11.88416472,11.6991096,11.51492029,11.33169857,11.14953973,10.9685328,10.78876085,10.61030126,10.43322597,10.25760175,10.08349039,9.91094899,9.74003012,9.57078208,9.40324908,9.23747142,9.0734857,8.91132501,8.75101904,8.59259434,8.43607438,8.28147979,8.12882843,7.97813557,7.82941405,7.68267432,7.53792467,7.39517126,7.25441829,7.11566809,6.9789212,6.84417651,6.71143134,6.5806815,6.45192143,6.32514425,6.20034183,6.07750492,5.95662314,5.83768513,5.72067856,5.60559024,5.49240612,5.38111142,5.27169062,5.16412757,5.05840549,4.95450705,4.85241439,4.75210921,4.65357276,4.5567859,4.46172914,4.36838269,4.27672645,4.18674009,4.09840305,4.01169459,3.92659381,3.84307966,3.75964667,3.67605747,3.59391458,3.51360721,3.43509434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
