mth,lusa_band,current_to_30_roll_rate,30_to_60_roll_rate,60_to_90_roll_rate,90_to_120_roll_rate,120_to_150_roll_rate,150_to_180_roll_rate,Provision_rate_current,Provision_rate_0_to_30,Provision_rate_30_to_60,Provision_rate_60_to_90,Provision_rate_90_to_120,Provision_rate_120_to_150
4,200,0.158039908,0.464330161,0.737379218,0.937071161,0.944761454,0.966758872,0.04538617,0.287181704,0.618486001,0.838762452,0.895089387,0.947423694
4,250,0.140248136,0.474314385,0.735773472,0.859351856,0.942943607,0.971439771,0.037757759,0.269221114,0.567600567,0.771433856,0.897692663,0.952010976
4,300,0.158836366,0.47821629,0.799986169,0.913834135,0.940878433,0.923766479,0.047298346,0.297780332,0.622689645,0.778375513,0.851768919,0.90529115
4,350,0.122993907,0.479225477,0.791036002,0.924509906,0.977089327,0.954194648,0.039384799,0.320217482,0.668197952,0.84471244,0.913686738,0.935110755
4,400,0.124786825,0.435543646,0.788828191,0.905949368,0.966249236,0.940644712,0.034596138,0.277241914,0.636542209,0.806946578,0.89071929,0.921831818
4,450,0.117067034,0.442212235,0.724845765,0.913015182,0.959001502,0.95312418,0.030689077,0.262149606,0.592814005,0.817848477,0.895766569,0.934061696
4,500,0.11472575,0.440405167,0.75793581,0.919690816,0.94498871,0.897460666,0.029272223,0.255149546,0.579351846,0.76438115,0.831128393,0.879511453
4,550,0.108920385,0.438928396,0.705135579,0.862318388,0.945003999,0.935657968,0.025189524,0.231265471,0.526886557,0.747213121,0.866516512,0.916944809
4,600,0.090744598,0.408885624,0.750938101,0.865130025,0.94647736,0.949853289,0.021237382,0.234034672,0.572371974,0.762209261,0.88103434,0.930856223
4,650,0.081190798,0.392923916,0.735605554,0.915001161,0.975170513,0.968696371,0.019878162,0.244832698,0.623104595,0.847063473,0.925751254,0.949322444
4,700,0.07087936,0.379061773,0.711526021,0.913279544,0.951446843,0.930061946,0.015140729,0.21361266,0.563529944,0.792001877,0.867206412,0.911460707
4,750,0.061097074,0.377290542,0.737370499,0.849610758,0.9361338,0.948881708,0.012571241,0.205758486,0.545358187,0.739598597,0.870514634,0.929904074
4,800,0.049799817,0.323079427,0.677872118,0.889745144,0.933120398,0.953305472,0.008459531,0.169870727,0.525786271,0.775642275,0.871757806,0.934239363
4,850,0.041881252,0.273791457,0.726699963,0.876977905,0.952299451,0.898480605,0.006127618,0.146309323,0.534382351,0.735354862,0.838510135,0.880510993
4,900,0.032385779,0.283956914,0.631930636,0.886862475,0.954792008,0.930362623,0.004486623,0.138536829,0.487879753,0.772046369,0.870536741,0.911755371
4,950,0.022098089,0.251628273,0.595243772,0.947323843,0.980631041,0.861672459,0.002596459,0.117496976,0.466946637,0.784462869,0.828083105,0.84443901
5,0,0.156879633,0.551896833,0.830965495,0.837017933,0.935640641,1,0.05521758,0.351974182,0.637753583,0.767485036,0.916927828,0.98
